post_id,user_id,place_id,name,latitude,longitude,level,NOM,geo
7736,1211,17225,Ciutadella Park,41.3881,2.18602,park,"Sant Pere, Santa Caterina i la Ribera
","41.3881,2.18602"
7737,1211,17225,Ciutadella Park,41.3881,2.18602,park,"Sant Pere, Santa Caterina i la Ribera
","41.3881,2.18602"
7747,1211,17225,Ciutadella Park,41.3881,2.18602,park,"Sant Pere, Santa Caterina i la Ribera
","41.3881,2.18602"
7752,1211,17225,Ciutadella Park,41.3881,2.18602,park,"Sant Pere, Santa Caterina i la Ribera
","41.3881,2.18602"
7142,282,24196,Water Walls,41.3906,2.19352,park,"el Parc, la Llacuna i la Vila Olímpica

","41.3906,2.19352"
7143,282,24197,Water Walls,41.3906,2.19352,park,"el Parc, la Llacuna i la Vila Olímpica

","41.3906,2.19352"
2917,1,9807,Plaça Reial,41.38,2.17504,route,"el Barri Gòtic
","41.38,2.17504"
6938,282,23636,Avenue Parallèle,41.3749,2.1632,route,"el Poble Sec i Montjuïc

","41.3749,2.1632"
7141,282,24186,Avinguda d'Icària,41.3911,2.1967,route,"el Parc, la Llacuna i la Vila Olímpica

","41.3911,2.1967"
7882,1869,26383,Carrer del Rosselló,41.397,2.16226,route,"la Dreta de l'Eixample
","41.397,2.16226"
2504,138,8456,"Paseo Juan de Borbón, Barcelona, Spain",41.3734,2.18804,route,la Barceloneta,"41.3734,2.18804"
6936,282,23632,Passeig de Joan de Borbó,41.3734,2.18804,route,la Barceloneta,"41.3734,2.18804"
4737,54,16276,Carrer dels Templers,41.3817,2.17809,route,"el Barri Gòtic
","41.3817,2.17809"
4392,54,15172,Plaça de Sant Felip Neri,41.3834,2.17505,route,"el Barri Gòtic
","41.3834,2.17505"
4393,54,15173,Plaça de Sant Felip Neri,41.3834,2.17505,route,"el Barri Gòtic
","41.3834,2.17505"
4725,54,15172,Plaça de Sant Felip Neri,41.3834,2.17505,route,"el Barri Gòtic
","41.3834,2.17505"
6868,150,23425,Plaça de Sant Felip Neri,41.3834,2.17505,route,"el Barri Gòtic
","41.3834,2.17505"
6863,150,23409,Plaça de les Olles,41.3837,2.18324,route,"Sant Pere, Santa Caterina i la Ribera
","41.3837,2.18324"
7654,1428,25604,Carrer de la Volta dels Tamborets,41.3839,2.18257,route,"Sant Pere, Santa Caterina i la Ribera
","41.3839,2.18257"
7655,1428,25604,Carrer de la Volta dels Tamborets,41.3839,2.18257,route,"Sant Pere, Santa Caterina i la Ribera
","41.3839,2.18257"
2995,1,10214,Plaça de Ramon Berenguer el Gran,41.3843,2.17763,route,"el Barri Gòtic
","41.3843,2.17763"
6865,150,23419,Carrer de l'Arc de Sant Vicenç,41.3847,2.18183,route,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18183"
3633,81,12468,Passeig del Born,41.3847,2.18286,route,"Sant Pere, Santa Caterina i la Ribera
","41.3847,2.18286"
1820,60,3095,"Plaça d'Isidre Nonell, Barcelona, Spain",41.3851,2.17492,route,"el Barri Gòtic
","41.3851,2.17492"
5151,312,17664,Plaça d'Isidre Nonell,41.3851,2.17492,route,"el Barri Gòtic
","41.3851,2.17492"
7038,312,17664,Plaça d'Isidre Nonell,41.3851,2.17492,route,"el Barri Gòtic
","41.3851,2.17492"
7761,1211,3095,"Plaça d'Isidre Nonell, Barcelona, Spain",41.3851,2.17492,route,"el Barri Gòtic
","41.3851,2.17492"
729,59,2759,"Plaça de la Universitat, Barcelona, Spain",41.3856,2.16426,route,"Sant Antoni
","41.3856,2.16426"
2890,54,9748,La Rambla,41.3856,2.16982,route,"la Dreta de l'Eixample
","41.3856,2.16982"
2891,54,9749,La Rambla,41.3856,2.16982,route,"la Dreta de l'Eixample
","41.3856,2.16982"
4272,60,14737,La Rambla,41.3856,2.16982,route,"la Dreta de l'Eixample
","41.3856,2.16982"
1545,54,5270,"Avinguda del Portal de l'Àngel, Barcelona, Spain",41.3858,2.17275,route,"el Barri Gòtic
","41.3858,2.17275"
7906,1776,26455,Plaça de Catalunya,41.3866,2.16939,route,"la Dreta de l'Eixample
","41.3866,2.16939"
5740,85,19484,Rambla de Catalunya,41.3919,2.16221,route,"la Dreta de l'Eixample
","41.3919,2.16221"
1110,54,3791,"Passeig de Gràcia, Barcelona, Spain",41.3927,2.16459,route,"la Dreta de l'Eixample
","41.3927,2.16459"
1538,54,3791,"Passeig de Gràcia, Barcelona, Spain",41.3927,2.16459,route,"la Dreta de l'Eixample
","41.3927,2.16459"
1818,60,3791,"Passeig de Gràcia, Barcelona, Spain",41.3927,2.16459,route,"la Dreta de l'Eixample
","41.3927,2.16459"
2601,159,3791,"Passeig de Gràcia, Barcelona, Spain",41.3927,2.16459,route,"la Dreta de l'Eixample
","41.3927,2.16459"
6948,282,23669,Passeig de Gràcia,41.3927,2.16459,route,"la Dreta de l'Eixample
","41.3927,2.16459"
6610,135,22575,Ronda del General Mitre,41.4018,2.13693,route,"Sarrià, les Tres Torres i Vallvidrera


","41.4018,2.13693"
6288,282,21438,Carrer dels Quatre Camins,41.4105,2.13119,route,Sant Gervasi - la Bonanova i el Putget,"41.4105,2.13119"
670,33,2512,"Carretera de les Aigües, Barcelona, Spain",41.4124,2.11934,route,Sarrià i les Tres Torres,"41.4124,2.11934"
5232,856,17969,Carretera de les Aigües,41.4124,2.11941,route,Sarrià i les Tres Torres,"41.4124,2.11941"
662,33,2513,"Plaça del Doctor Andreu, Barcelona, Spain",41.4158,2.12975,route,Sant Gervasi - la Bonanova i el Putget,"41.4158,2.12975"
7807,1923,26038,Passatge del Dipòsit,41.4173,2.16169,route,"el Carmel i Can Baró

","41.4173,2.16169"
7643,1428,25552,Brunells,41.3854,2.18068,bakery,"Sant Pere, Santa Caterina i la Ribera
","41.3854,2.18068"
7081,1428,23985,Demasié,41.3856,2.18094,bakery,"Sant Pere, Santa Caterina i la Ribera
","41.3856,2.18094"
6350,314,21654,DeLaCrem,41.3879,2.16194,bakery,"l'Antiga Esquerra de l'Eixample
","41.3879,2.16194"
3378,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3402,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3403,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3404,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3405,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3406,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3407,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3408,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3409,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3410,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3411,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3412,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3413,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3414,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3415,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3416,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
3417,262,11534,COOKONA,41.3914,2.15505,bakery,"l'Antiga Esquerra de l'Eixample
","41.3914,2.15505"
